cell,site,date,night,CORRAF,CORTOW,EPTFUS,LASBOR,LASCIN,LASINT,LASNOC,MYOAUS,MYOGRI,MYOLEI,MYOLUC,MYOSEP,MYOSOD,NYCHUM,PERSUB,TADBRA
Cell-108,C108-S1,20190720,night3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Cell-108,C108-S1,20190721,night4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-108,C108-S1,20180717,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
cell-108,C108-S1,20180718,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-108,C108-S1,20180719,night3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
cell-108,C108-S1,20180720,night4 ,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
cell-108,C108-S1,20160717,night1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-108,C108-S1,20160718,night2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S1,20160719,night3,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S1,20160720,night4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
cell-108,C108-S1,20170715,night1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-108,C108-S1,20170716,night2,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1
cell-108,C108-S1,20170717,night3,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-108,C108-S1,20170718,night4,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-108,C108-S2,20180717,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
cell-108,C108-S2,20180718,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-108,C108-S2,20180719,night3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-108,C108-S2,20180720,night4 ,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
cell-108,C108-S2,20160717,night1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-108,C108-S2,20160718,night2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-108,C108-S2,20160719,night3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S2,20160720,night4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S2,20170715,night1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
cell-108,C108-S2,20170716,night2,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S2,20170717,night3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
