psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),p(tavg),p(water),df,logLik,QAIC,delta,weight
6.401099073455805,0.14141184323206973,-2.2244194412981955,1.0745814396658497,NA,NA,NA,NA,NA,0.47446155192023065,NA,NA,NA,NA,NA,13.213190885279017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5649643640728705,0.4652103872284038,+,9,-1133.6906400951925,1036.7629059149708,7.330348677218808,0.00406433459140561
3.732348577381297,0.14454144019480367,-2.2154352498533827,1.0737883300031708,NA,0.42256981659509274,NA,NA,NA,NA,NA,NA,NA,NA,0.8779719343338469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6835466081343533,0.4670973948644637,+,9,-1133.9260107399084,1036.974000663595,7.541443425842999,0.00365721768563797
19.540740559007613,0.18971623828358455,-2.1946072652133863,1.0423456749005569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.246629686253494,NA,NA,NA,NA,NA,NA,NA,10.079447301845436,0.4777448861386917,+,8,-1136.1938382333733,1037.0079266667026,7.57536942895058,0.00359570350395173
3.1893829425423164,0.1195245722953943,-2.2358747341453493,1.073343373804276,NA,NA,NA,NA,NA,0.5948661418201598,NA,NA,NA,NA,NA,NA,NA,-0.4957766940158698,NA,NA,NA,NA,NA,NA,NA,1.2739108467529405,0.46613432404583705,+,9,-1134.2086602621232,1037.2274979929357,7.7949407551836885,0.0032218444253374
4.169727063437128,0.14508352801215582,-2.2239882426586486,1.0744050256452142,NA,NA,NA,NA,NA,NA,0.2422064141707422,NA,NA,NA,NA,4.4359488792588255,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0732295513055257,0.46495795013495406,+,9,-1134.2405851592073,1037.2561301876299,7.823572949877871,0.00317604877654151
3.807341515308565,0.15389974090981642,-2.2146607882123224,1.0746733601757628,NA,NA,NA,NA,NA,0.2363136229736037,NA,NA,NA,NA,1.2526544509800435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.410651630087726,0.4655943525294409,+,9,-1134.2409766684398,1037.2564813169863,7.8239240792343026,0.0031754912235048
3.893053815512441,0.14860093088263357,-2.218594569473918,1.0749098593289605,NA,NA,0.24831359885493093,NA,NA,NA,NA,NA,NA,NA,1.2457534752206842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.256144006004815,0.4656301241234958,+,9,-1134.245464082652,1037.2605059037237,7.8279486659716895,0.00316910762856039
3.9012572040574796,0.16096994212327898,-2.21236512647287,1.075133915787239,NA,NA,NA,NA,NA,NA,0.014190209489459003,NA,NA,NA,1.5994455723731025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.455921712334659,0.46549492694850164,+,9,-1134.3941471812182,1037.3938539741866,7.961296736434633,0.00296470047716715
1.240013224433525,0.049357274646700415,-2.2927185635793594,1.0738974774507506,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,1.1428400198792803,0.46630486476385635,+,12,-1127.9913684794233,1037.651451551052,8.218894313300098,0.00260641892394881
21.97197575933347,0.1478434044718982,-2.2142768205496544,1.0416133819814462,NA,NA,0.8382128359354308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.444285393461,NA,NA,NA,NA,NA,NA,NA,2.7930151979071045,0.4782304935778408,+,9,-1135.0980662974632,1038.0251715672316,8.592614329479602,0.00216218051746073
144.93556137685246,0.11079366532449733,-2.2450722191077155,1.0414908739547188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,-115.29760599200003,NA,NA,NA,NA,NA,NA,NA,86.17279402999061,0.4762962402324902,+,11,-1130.7478063950807,1038.1235931794445,8.691035941692462,0.00205835352849584
4.072289229902089,0.10851174747053585,-2.2455142804946315,1.0742022685937729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,3.041620470558868,0.4662311547369892,+,10,-1133.4931142831254,1038.5857527202918,9.153195482539786,0.00163366610718465
17.803302707723635,0.1835414098966611,-2.1991957628174834,1.0423522322124201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1932580969293374,NA,NA,-14.00471123202318,NA,NA,NA,NA,NA,NA,NA,4.883772742710949,0.47791157994710404,+,9,-1135.9033696908198,1038.7474167630671,9.314859525315114,0.00150680966851223
21.79651362504163,0.18600780713056908,-2.1956859318936193,1.0418030013763904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.975193650474775,NA,-14.90721514648626,NA,NA,NA,NA,NA,NA,NA,0.9755941170312374,0.4769172534902798,+,9,-1136.1666471722801,1038.9835400648253,9.550982827073312,0.0013390132505596
18.751381645657293,0.18500058542509812,-2.197033667860486,1.0422459494772613,NA,NA,NA,NA,NA,NA,0.20043089063627376,NA,NA,NA,NA,NA,NA,-15.509566008749117,NA,NA,NA,NA,NA,NA,NA,2.5757710278485835,0.4778284046101863,+,9,-1136.1670615772541,1038.9839117284791,9.551354490727135,0.00133876444239994
4.047477940508743,0.08783779448651759,-2.2486722406524895,1.0734678655213752,NA,NA,NA,NA,0.6457437556318161,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,3.278754430563274,0.4669880403224573,+,11,-1132.2163522354683,1039.4406746506443,10.008117412892261,0.00106541635839664
