psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),psi(sc.water),p(canopy),p(j_date),df,logLik,QAIC,delta,weight
2.073392440700172,-0.7247257759184675,-2.0869253534519494,0.33464522008103437,NA,NA,NA,NA,NA,NA,NA,0.9918426313073413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12654717687381833,NA,NA,+,0.3037753503685242,9,-1178.6415978782231,923.1736382208607,3.446558362217388,0.00437636403845818
3.476306359738585,-0.7806493031762971,-2.088908704459482,0.3561032456046842,NA,NA,1.2346114781371142,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,0.1620639761108019,NA,+,0.303202097038439,12,-1170.8572972045151,923.2086568616975,3.4815770030542126,0.00430040382472538
3.447667665043228,-0.7819965724640251,-2.0900409687663526,0.35651640025649645,NA,NA,1.2545949388012565,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,0.10121918185945934,NA,NA,+,0.30322340186384195,12,-1170.9793376943226,923.3021744784081,3.5750946197648545,0.00410395081300538
3.5342523388036966,-0.7090444121440451,-2.0653040294671228,0.30044090151604974,NA,NA,NA,NA,NA,NA,NA,0.6591284637530821,NA,3.1673838613130867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07086106083810999,NA,+,0.30048552002668655,10,-1176.2578636081612,923.3470219219627,3.6199420633193995,0.00401294907374574
3.647022573312952,-0.7100171923345652,-2.0649673847503145,0.2966213982152729,NA,NA,NA,NA,NA,NA,NA,0.634925625860427,NA,3.362370756420186,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.022152992609346393,NA,NA,+,0.3002859177694698,10,-1176.2764040771924,923.3612291779252,3.63414931928196,0.00398454358687231
4.051181520593833,-0.7372509988781034,-2.0707245522690902,0.2558059513975101,NA,NA,NA,NA,0.5850007941545153,NA,NA,NA,NA,3.906624468787727,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12648342368664733,NA,NA,+,0.29994431521606174,10,-1176.311800887835,923.3883531707548,3.6612733121115753,0.00393087000416983
4.1978820480373615,-0.688923809112517,-2.055466389873234,0.28768649058242934,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.81787496115953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11247419094188993,NA,+,0.30147307734095313,9,-1178.9901340345043,923.4407157352524,3.713635876609146,0.00382929033246516
3.898590606543855,-0.736810633209584,-2.0720248699341974,0.26201230667308084,NA,NA,NA,NA,0.6289299312770674,NA,NA,NA,NA,3.6659951421384385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011166417072305241,NA,+,0.3004102352130968,10,-1176.4027217320024,923.4580243157108,3.730944457067494,0.00379629353045268
2.209062242800738,-0.7409080098188625,-2.0929364898011578,0.3519253175365186,1.1864937556471347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6520120354525819,NA,NA,NA,NA,NA,NA,NA,0.10888138992967902,NA,+,0.3040900492439702,10,-1176.4689669677962,923.5087869485029,3.781707089859651,0.00370115113049716
2.2104579468062493,-0.7433941435912244,-2.0938499433694795,0.3518755202589168,1.1837081217258432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6531580706275525,NA,NA,NA,NA,NA,NA,0.034252728185503414,NA,NA,+,0.30414801420354376,10,-1176.5923072448559,923.6033005707708,3.8762207121275196,0.00353031490958406
