psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),psi(sc.water),p(canopy),df,logLik,QAIC,delta,weight
-0.45423954381190373,-2.0723206682249353,-0.7238008218685108,0.5274437572450577,NA,NA,NA,NA,NA,0.39710077124303367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-742.1713575690882,1001.0084206213088,8.884001371882619,0.00164420207273518
-0.7550228766530878,-2.0527589122957375,-0.719566751360941,0.5287155285706127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2898561972009674,NA,NA,NA,NA,NA,0.9307019891084612,NA,NA,NA,NA,+,+,9,-740.7315285484622,1001.101362315844,8.976943066417789,0.00156954278484255
-0.6221676514816696,-2.042576263269858,-0.7124794136366638,0.5270576616464941,NA,NA,NA,NA,0.5712939157579596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2144648446265276,NA,NA,NA,NA,+,+,9,-740.8837099773378,1001.3029271223018,9.17850787287557,0.00141907032127386
-0.3632441287174694,-2.132395595631898,-0.7564893146431286,0.5269315282529805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34246915130393435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-742.4139536199586,1001.329739893985,9.20532064455881,0.00140017267462224
-0.08632826572873958,-2.0807342738942407,-0.7283937827757093,0.5302914732449967,NA,NA,NA,NA,NA,NA,NA,0.6122138618776956,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,11,-737.9168260638716,1001.3732795547968,9.248860305370613,0.00137002054712026
-0.6191803915335348,-2.0414383916783607,-0.7105524250411569,0.5271288803479598,NA,NA,NA,NA,0.5679470856152794,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2125596681996086,NA,NA,NA,NA,NA,NA,+,+,9,-740.9440645898862,1001.3828670064719,9.258447757045701,0.00136346876050651
-0.6508923053087585,-2.0578604253272132,-0.7162767730038142,0.5287923594167568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8160899368723706,NA,NA,NA,0.7811112142092963,NA,NA,NA,NA,NA,NA,+,+,9,-741.0062361530166,1001.4652134477042,9.34079419827799,0.00130847036043421
0.13536528473305903,-2.0858233984151915,-0.7343712206944163,0.5301005468009415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,10,-739.5159846126304,1001.4913703478549,9.366951098428672,0.00129146901411321
-0.43315450171561715,-2.067658107915064,-0.7236153866222289,0.5285627720537746,NA,0.31604675019972894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-742.5544240282011,1001.5157934148359,9.39137416540973,0.00127579409915834
-0.39726902512302975,-2.0993468515575966,-0.7385359515320179,0.5281693419309252,NA,NA,0.29563253389238775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-742.5656379481421,1001.5306462889299,9.406227039503733,0.00126635458894411
