id,date,site_code,name,latitude,longitude,distance,prcp,tmax,tmin,tavg
USC00311578,2015-07-17,C54-S3,CATAWBA 5 SW,35.6486,-81.1342,13.525948808800841,1.3,32.2,20.6,26.400000000000002
USC00311578,2015-07-18,C54-S2,CATAWBA 5 SW,35.6486,-81.1342,13.19416810314851,0.8,32.8,22.2,27.5
USC00311578,2015-07-18,C54-S3,CATAWBA 5 SW,35.6486,-81.1342,13.525948808800841,0.8,32.8,22.2,27.5
USC00311578,2015-07-18,C54-S1,CATAWBA 5 SW,35.6486,-81.1342,12.372804498622056,0.8,32.8,22.2,27.5
USC00311578,2015-07-19,C54-S3,CATAWBA 5 SW,35.6486,-81.1342,13.525948808800841,0.3,33.9,21.7,27.799999999999997
USC00311578,2015-07-19,C54-S1,CATAWBA 5 SW,35.6486,-81.1342,12.372804498622056,0.3,33.9,21.7,27.799999999999997
USC00311578,2015-07-19,C54-S2,CATAWBA 5 SW,35.6486,-81.1342,13.19416810314851,0.3,33.9,21.7,27.799999999999997
USC00312238,2015-07-27,C24-S4,DANBURY,36.43,-80.1789,13.534729669300171,0,32.8,20,26.4
USC00312238,2015-07-27,C24-S5,DANBURY,36.43,-80.1789,13.780883822264409,0,32.8,20,26.4
USC00312238,2015-07-28,C24-S4,DANBURY,36.43,-80.1789,13.534729669300171,0,31.1,20.6,25.85
USC00312238,2015-07-28,C24-S5,DANBURY,36.43,-80.1789,13.780883822264409,0,31.1,20.6,25.85
USC00312238,2015-07-29,C24-S4,DANBURY,36.43,-80.1789,13.534729669300171,0.5,32.8,20,26.4
USC00312238,2015-07-29,C24-S5,DANBURY,36.43,-80.1789,13.780883822264409,0.5,32.8,20,26.4
USC00312238,2015-07-30,C24-S4,DANBURY,36.43,-80.1789,13.534729669300171,10.9,31.1,20.6,25.85
USC00312238,2015-07-30,C24-S5,DANBURY,36.43,-80.1789,13.780883822264409,10.9,31.1,20.6,25.85
USC00312635,2015-06-01,C14-S1,EDENTON,36.0164,-76.5517,21.05667463170714,0,30,22.2,26.1
USC00312635,2015-06-01,C14-S2,EDENTON,36.0164,-76.5517,26.91348121081009,0,30,22.2,26.1
USC00312635,2015-06-02,C14-S1,EDENTON,36.0164,-76.5517,21.05667463170714,5.3,29.4,21.1,25.25
USC00312635,2015-06-02,C14-S2,EDENTON,36.0164,-76.5517,26.91348121081009,5.3,29.4,21.1,25.25
USC00312635,2015-06-03,C14-S2,EDENTON,36.0164,-76.5517,26.91348121081009,11.4,22.8,18.3,20.55
USC00312635,2015-06-03,C14-S1,EDENTON,36.0164,-76.5517,21.05667463170714,11.4,22.8,18.3,20.55
USC00312635,2015-06-04,C14-S2,EDENTON,36.0164,-76.5517,26.91348121081009,11.9,26.7,18.9,22.799999999999997
USC00312635,2015-06-04,C14-S1,EDENTON,36.0164,-76.5517,21.05667463170714,11.9,26.7,18.9,22.799999999999997
USC00314456,2015-07-21,C40-S1,JACKSON,36.3964,-77.4239,19.981994516883493,8.9,33.9,22.2,28.049999999999997
USC00314456,2015-07-22,C40-S1,JACKSON,36.3964,-77.4239,19.981994516883493,0,32.2,22.2,27.200000000000003
USC00314456,2015-07-23,C40-S1,JACKSON,36.3964,-77.4239,19.981994516883493,0,29.4,18.9,24.15
USC00314456,2015-07-24,C40-S1,JACKSON,36.3964,-77.4239,19.981994516883493,0,26.1,19.4,22.75
USC00314938,2015-06-26,C5-S2,LENOIR,35.9147,-81.5375,13.069137843347619,0,35.6,20.6,28.1
USC00314938,2015-06-26,C5-S3,LENOIR,35.9147,-81.5375,12.473065847116548,0,35.6,20.6,28.1
USC00314938,2015-06-27,C5-S2,LENOIR,35.9147,-81.5375,13.069137843347619,0,36.1,22.2,29.15
USC00314938,2015-06-27,C5-S3,LENOIR,35.9147,-81.5375,12.473065847116548,0,36.1,22.2,29.15
USC00314938,2015-06-28,C5-S2,LENOIR,35.9147,-81.5375,13.069137843347619,13.7,30,16.1,23.05
USC00314938,2015-06-28,C5-S3,LENOIR,35.9147,-81.5375,12.473065847116548,13.7,30,16.1,23.05
USC00314938,2015-06-29,C5-S3,LENOIR,35.9147,-81.5375,12.473065847116548,0,28.3,14.4,21.35
USC00314938,2015-06-29,C5-S2,LENOIR,35.9147,-81.5375,13.069137843347619,0,28.3,14.4,21.35
USC00314962,2015-07-21,C40-S3,LEWISTON,36.1325,-77.1708,20.239926029661444,0,34.4,23.9,29.15
USC00314962,2015-07-21,C40-S2,LEWISTON,36.1325,-77.1708,14.711471221267606,0,34.4,23.9,29.15
USC00314962,2015-07-22,C40-S2,LEWISTON,36.1325,-77.1708,14.711471221267606,0,30,21.1,25.55
USC00314962,2015-07-22,C40-S3,LEWISTON,36.1325,-77.1708,20.239926029661444,0,30,21.1,25.55
USC00314962,2015-07-23,C40-S2,LEWISTON,36.1325,-77.1708,14.711471221267606,9.4,29.4,20.6,25
USC00314962,2015-07-23,C40-S3,LEWISTON,36.1325,-77.1708,20.239926029661444,9.4,29.4,20.6,25
USC00314962,2015-07-24,C40-S2,LEWISTON,36.1325,-77.1708,14.711471221267606,0,30.6,18.9,24.75
USC00314962,2015-07-24,C40-S3,LEWISTON,36.1325,-77.1708,20.239926029661444,0,30.6,18.9,24.75
USC00315996,2015-06-01,C7-S1,MURFREESBORO,36.4522,-77.0803,6.959460513866148,0,30,20.6,25.3
USC00315996,2015-06-01,C7-S3,MURFREESBORO,36.4522,-77.0803,11.509526806903352,0,30,20.6,25.3
USC00315996,2015-06-01,C7-S2,MURFREESBORO,36.4522,-77.0803,6.120459035369146,0,30,20.6,25.3
USC00315996,2015-06-02,C7-S1,MURFREESBORO,36.4522,-77.0803,6.959460513866148,0,30.6,20.6,25.6
USC00315996,2015-06-02,C7-S3,MURFREESBORO,36.4522,-77.0803,11.509526806903352,0,30.6,20.6,25.6
USC00315996,2015-06-02,C7-S2,MURFREESBORO,36.4522,-77.0803,6.120459035369146,0,30.6,20.6,25.6
USC00315996,2015-06-03,C7-S1,MURFREESBORO,36.4522,-77.0803,6.959460513866148,30.7,26.7,17.8,22.25
USC00315996,2015-06-03,C7-S3,MURFREESBORO,36.4522,-77.0803,11.509526806903352,30.7,26.7,17.8,22.25
USC00315996,2015-06-03,C7-S2,MURFREESBORO,36.4522,-77.0803,6.120459035369146,30.7,26.7,17.8,22.25
USC00315996,2015-06-04,C7-S1,MURFREESBORO,36.4522,-77.0803,6.959460513866148,5.1,19.4,17.8,18.6
USC00315996,2015-06-04,C7-S2,MURFREESBORO,36.4522,-77.0803,6.120459035369146,5.1,19.4,17.8,18.6
USC00315996,2015-06-04,C7-S3,MURFREESBORO,36.4522,-77.0803,11.509526806903352,5.1,19.4,17.8,18.6
USC00317079,2015-06-12,C12-S2,RALEIGH STATE UNIV,35.7908,-78.6989,18.171600808741193,0,35,21.7,28.35
USC00317079,2015-06-13,C12-S2,RALEIGH STATE UNIV,35.7908,-78.6989,18.171600808741193,0,35,23.3,29.15
USC00317079,2015-06-14,C12-S2,RALEIGH STATE UNIV,35.7908,-78.6989,18.171600808741193,0,35.6,21.7,28.65
USC00317079,2015-06-15,C12-S2,RALEIGH STATE UNIV,35.7908,-78.6989,18.171600808741193,0,37.8,23.9,30.849999999999998
USC00317170,2015-06-05,C22-S2,REELSBORO,35.131100000000004,-76.9153,5.267178686650775,0,24.4,19.4,21.9
USC00317170,2015-06-05,C22-S1,REELSBORO,35.131100000000004,-76.9153,6.571405946239758,0,24.4,19.4,21.9
USC00317170,2015-06-06,C22-S2,REELSBORO,35.131100000000004,-76.9153,5.267178686650775,0,27.2,15.6,21.4
USC00317170,2015-06-06,C22-S1,REELSBORO,35.131100000000004,-76.9153,6.571405946239758,0,27.2,15.6,21.4
USC00317170,2015-06-07,C22-S1,REELSBORO,35.131100000000004,-76.9153,6.571405946239758,9.7,32.2,16.7,24.450000000000003
USC00317170,2015-06-07,C22-S2,REELSBORO,35.131100000000004,-76.9153,5.267178686650775,9.7,32.2,16.7,24.450000000000003
USC00317170,2015-06-08,C22-S2,REELSBORO,35.131100000000004,-76.9153,5.267178686650775,0,28.3,13.3,20.8
USC00317170,2015-06-08,C22-S1,REELSBORO,35.131100000000004,-76.9153,6.571405946239758,0,28.3,13.3,20.8
USC00317516,2015-06-12,C1-S1,ROXBORO 7 ESE,36.3464,-78.8858,20.84266027413575,0,32.2,18.3,25.25
USC00317516,2015-06-12,C1-S2,ROXBORO 7 ESE,36.3464,-78.8858,20.04300724856741,0,32.2,18.3,25.25
USC00317516,2015-06-13,C1-S1,ROXBORO 7 ESE,36.3464,-78.8858,20.84266027413575,14.7,31.1,18.9,25
USC00317516,2015-06-13,C1-S2,ROXBORO 7 ESE,36.3464,-78.8858,20.04300724856741,14.7,31.1,18.9,25
USC00317516,2015-06-14,C1-S1,ROXBORO 7 ESE,36.3464,-78.8858,20.84266027413575,0,32.8,20,26.4
USC00317516,2015-06-14,C1-S2,ROXBORO 7 ESE,36.3464,-78.8858,20.04300724856741,0,32.8,20,26.4
