site_code,Longitude,Latitude,year,cc_250m
C65-S2,-79.96895327,35.31885901,cc_250m_2016,51
C65-S3,-79.99141811,35.36316591,cc_250m_2016,61
C65-S4,-79.9494423,35.32099103,cc_250m_2016,52
C65-S5,-80.038462,35.44548,cc_250m_2016,58
C65-S6,-80.05437,35.38194,cc_250m_2016,53
C66-S1,-80.27868035,36.08323015,cc_250m_2016,27
C6-S1,-83.3900356,35.46179133,cc_250m_2016,35
C6-S2,-83.39710037,35.44283733,cc_250m_2016,22
C6-S3,-83.39737999,35.44295635,cc_250m_2016,22
C6-S4,-83.39278042,35.40718348,cc_250m_2016,76
C74-S1,-82.27958162,36.08188385,cc_250m_2016,75
C74-S2,-82.27714341,36.10667945,cc_250m_2016,77
C74-S3,-82.22995087,36.14326143,cc_250m_2016,77
C75-S1,-79.03680677,36.08470428,cc_250m_2016,61
C75-S2,-79.06439027,36.08714056,cc_250m_2016,48
C75-S3,-79.061935,36.085027,cc_250m_2016,52
C75-S4,-79.03245,36.08577,cc_250m_2016,60
C78-S1,-79.94906947,36.4404268,cc_250m_2016,43
C78-S2,-79.93804785,36.43911478,cc_250m_2016,37
C78-S3,-80.002215,36.505402,cc_250m_2016,54
C78-S4,-79.998955,36.509415,cc_250m_2016,61
C79-S1,-81.26898738,35.23997407,cc_250m_2016,53
C79-S2,-81.29311251,35.21013374,cc_250m_2016,47
C7-S1,-77.00248903,36.45198385,cc_250m_2016,44
C7-S2,-77.0130307,36.44212003,cc_250m_2016,41
C7-S3,-76.95322615,36.43594232,cc_250m_2016,50
C7-S4,-76.99537262,36.45804824,cc_250m_2016,51
C81-S1,-79.001412,34.51621743,cc_250m_2016,57
C81-S2,-78.93433507,34.52869071,cc_250m_2016,48
C81-S3,-78.9444941,34.503387,cc_250m_2016,49
C81-S4,-78.93433507,34.52869071,cc_250m_2016,48
C83-S1,-82.21714826,35.4464542,cc_250m_2016,64
C83-S2,-82.21277115,35.44121836,cc_250m_2016,62
C84-S1,-83.57475691,35.17295438,cc_250m_2016,37
C84-S2,-83.53965,35.16345,cc_250m_2016,66
C84-S3,-83.597539,35.153387,cc_250m_2016,71
C95-S1,-82.92407538,35.42403932,cc_250m_2016,66
C95-S2,-82.97101387,35.34271801,cc_250m_2016,72
C95-S3,-82.89719,35.40317,cc_250m_2016,55
C210-S1,-78.810253,36.113742,cc_250m_2016,29
C210-S2,-78.800991,36.110514,cc_250m_2016,51
C100-S1,-82.12579,36.10114,cc_250m_2017,75
C100-S2,-82.10770533,36.10574939,cc_250m_2017,24
C100-S3,-82.09012798,36.09956196,cc_250m_2017,68
C105-S1,-75.69365,35.91435,cc_250m_2017,29
C105-S2,-75.71315,35.93846667,cc_250m_2017,61
C108-S1,-78.00381213,36.20097645,cc_250m_2017,63
C108-S2,-78.04578091,36.18453409,cc_250m_2017,51
C108-S3,-77.97874698,36.20389477,cc_250m_2017,57
C108-S4,-77.98236234,36.19726452,cc_250m_2017,52
C108-S6,-78.06235864,36.23149009,cc_250m_2017,61
